Date,Weekday,Close
2021-01-29,Friday,1662.06
2021-02-05,Friday,1707.39
2021-02-12,Friday,1730.35
2021-02-19,Friday,1736.17
2021-02-26,Friday,1712.46
2021-03-05,Friday,1736.22
2021-03-12,Friday,1825.62
2021-03-19,Friday,1822.53
2021-03-26,Friday,1845.9
2021-04-02,Friday,1870.42
2021-04-09,Friday,1921.59
2021-04-16,Friday,1963.61
2021-04-23,Friday,1940.86
2021-04-30,Friday,1922.05
2021-05-07,Friday,1951.63
2021-05-14,Friday,1930.69
2021-05-21,Friday,1945.26
2021-05-28,Friday,1972.41
2021-06-04,Friday,1993.25
2021-06-11,Friday,2002.82
2021-06-18,Friday,1969.71
2021-06-25,Friday,1979.76
2021-07-02,Friday,2015.18
2021-07-09,Friday,2056.32
2021-07-16,Friday,2076.44
2021-07-23,Friday,2136.01
2021-07-30,Friday,2133.52
2021-08-06,Friday,2156.91
2021-08-13,Friday,2171.1
2021-08-20,Friday,2140.73
2021-08-27,Friday,2149.44
2021-09-03,Friday,2156.73
2021-09-10,Friday,2127.06
2021-09-17,Friday,2101.08
2021-09-24,Friday,2068.75
2021-10-01,Friday,2008.82
2021-10-08,Friday,1992.67
2021-10-15,Friday,2080.83
2021-10-22,Friday,2130.0
2021-10-29,Friday,2111.95
2021-11-05,Friday,2167.53
2021-11-12,Friday,2222.66
2021-11-19,Friday,2247.08
2021-11-26,Friday,2129.39
2021-12-03,Friday,2121.63
2021-12-10,Friday,2172.43
2021-12-17,Friday,2152.08
2021-12-24,Friday,2216.35
2021-12-31,Friday,2259.44
2022-01-07,Friday,2205.16
2022-01-14,Friday,2121.26
2022-01-21,Friday,2067.45
2022-01-28,Friday,2001.64
2022-02-04,Friday,2004.03
2022-02-11,Friday,2025.34
2022-02-18,Friday,1924.5
2022-02-25,Friday,1881.94
2022-03-04,Friday,1767.42
2022-03-11,Friday,1850.37
2022-03-18,Friday,1965.87
2022-03-25,Friday,1901.5
2022-04-01,Friday,1963.16
2022-04-08,Friday,1959.87
2022-04-15,Friday,1934.33
2022-04-22,Friday,1910.23
2022-04-29,Friday,1866.91
2022-05-06,Friday,1757.28
2022-05-13,Friday,1800.78
2022-05-20,Friday,1803.0
2022-05-27,Friday,1856.01
2022-06-03,Friday,1852.05
2022-06-10,Friday,1762.4
2022-06-17,Friday,1651.43
2022-06-24,Friday,1629.38
2022-07-01,Friday,1640.56
2022-07-08,Friday,1723.94
2022-07-15,Friday,1679.67
2022-07-22,Friday,1774.75
2022-07-29,Friday,1826.04
2022-08-05,Friday,1780.47
2022-08-12,Friday,1825.92
2022-08-19,Friday,1793.19
2022-08-26,Friday,1712.66
2022-09-02,Friday,1688.92
2022-09-09,Friday,1705.03
2022-09-16,Friday,1647.1
2022-09-23,Friday,1559.67
2022-09-30,Friday,1570.08
2022-10-07,Friday,1560.69
2022-10-14,Friday,1585.66
2022-10-21,Friday,1600.46
2022-10-28,Friday,1675.15
2022-11-04,Friday,1692.17
2022-11-11,Friday,1823.72
2022-11-18,Friday,1782.72
2022-11-25,Friday,1814.53
2022-12-02,Friday,1822.21
2022-12-09,Friday,1810.41
2022-12-16,Friday,1746.96
2022-12-23,Friday,1751.55
2022-12-30,Friday,1744.86
2023-01-06,Friday,1817.47
2023-01-13,Friday,1892.32
2023-01-20,Friday,1877.31
2023-01-27,Friday,1898.53
2023-02-03,Friday,1978.28
2023-02-10,Friday,1895.11
2023-02-17,Friday,1928.68
2023-02-24,Friday,1878.59
2023-03-03,Friday,1927.41
2023-03-10,Friday,1859.58
2023-03-17,Friday,1780.25
2023-03-24,Friday,1779.59
2023-03-31,Friday,1896.59
2023-04-07,Friday,1878.19
2023-04-14,Friday,1943.36
2023-04-21,Friday,1921.79
2023-04-28,Friday,1954.02
2023-05-05,Friday,1940.58
2023-05-12,Friday,1926.63
2023-05-19,Friday,1958.9
2023-05-26,Friday,1930.43
2023-06-02,Friday,1955.35
2023-06-09,Friday,1958.41
2023-06-16,Friday,1968.59
2023-06-23,Friday,1889.78
2023-06-30,Friday,1941.85
2023-07-07,Friday,1900.04
2023-07-14,Friday,1904.24
2023-07-21,Friday,1910.61
2023-07-28,Friday,1938.32
2023-08-04,Friday,1901.21
2023-08-11,Friday,1891.93
2023-08-18,Friday,1829.77
2023-08-25,Friday,1824.43
2023-09-01,Friday,1862.14
2023-09-08,Friday,1847.65
2023-09-15,Friday,1862.62
2023-09-22,Friday,1836.62
2023-09-29,Friday,1825.75
2023-10-06,Friday,1817.63
2023-10-13,Friday,1839.26
2023-10-20,Friday,1745.8
2023-10-27,Friday,1732.27
2023-11-03,Friday,1817.56
2023-11-10,Friday,1814.48
2023-11-17,Friday,1893.98
2023-11-24,Friday,1921.02
2023-12-01,Friday,1938.09
2023-12-08,Friday,1989.21
2023-12-15,Friday,2066.24
2023-12-22,Friday,2063.86
2023-12-29,Friday,2079.78
2024-01-05,Friday,2019.11
2024-01-12,Friday,2041.87
2024-01-19,Friday,1979.1
2024-01-26,Friday,2043.32
2024-02-02,Friday,2051.36
2024-02-09,Friday,2050.15
2024-02-16,Friday,2096.1
2024-02-23,Friday,2111.09
2024-03-01,Friday,2140.62
2024-03-08,Friday,2160.04
2024-03-15,Friday,2197.79
2024-03-22,Friday,2238.23
2024-03-29,Friday,2243.44
2024-04-05,Friday,2225.12
2024-04-12,Friday,2211.51
2024-04-19,Friday,2187.59
2024-04-26,Friday,2229.6
2024-05-03,Friday,2240.96
2024-05-10,Friday,2326.7
2024-05-17,Friday,2332.73
2024-05-24,Friday,2353.39
2024-05-31,Friday,2335.26
2024-06-07,Friday,2342.02
2024-06-14,Friday,2290.78
2024-06-21,Friday,2306.16
2024-06-28,Friday,2299.44
2024-07-05,Friday,2308.82
2024-07-12,Friday,2387.28
2024-07-19,Friday,2339.57
2024-07-26,Friday,2341.86
2024-08-02,Friday,2242.83
2024-08-09,Friday,2245.2
2024-08-16,Friday,2301.07
2024-08-23,Friday,2334.84
2024-08-30,Friday,2363.93
2024-09-06,Friday,2263.72
2024-09-13,Friday,2319.25
2024-09-20,Friday,2355.38
2024-09-27,Friday,2403.86
2024-10-04,Friday,2371.13
2024-10-11,Friday,2351.39
2024-10-18,Friday,2352.58
2024-10-25,Friday,2338.29
2024-11-01,Friday,2306.44
2024-11-08,Friday,2322.85
2024-11-15,Friday,2264.58
2024-11-22,Friday,2263.33
2024-11-29,Friday,2283.99
2024-12-06,Friday,2360.76
2024-12-13,Friday,2313.34
2024-12-20,Friday,2248.14
2024-12-27,Friday,2264.07
2025-01-03,Friday,2281.48
2025-01-10,Friday,2267.01
2025-01-17,Friday,2352.67
2025-01-24,Friday,2405.61
2025-01-31,Friday,2426.65
2025-02-07,Friday,2412.94
2025-02-14,Friday,2475.7
2025-02-21,Friday,2459.91
2025-02-28,Friday,2444.57
2025-03-07,Friday,2415.91
2025-03-14,Friday,2381.4
2025-03-21,Friday,2351.35
2025-03-28,Friday,2290.59
2025-04-04,Friday,2095.61
2025-04-11,Friday,2076.25
2025-04-18,Friday,2146.16
2025-04-25,Friday,2221.14
2025-05-02,Friday,2268.85
2025-05-09,Friday,2269.58
2025-05-16,Friday,2346.42
2025-05-23,Friday,2273.28
2025-05-30,Friday,2298.28
2025-06-06,Friday,2324.47
2025-06-13,Friday,2262.39
2025-06-20,Friday,2252.29
2025-06-27,Friday,2325.82
2025-07-04,Friday,2337.6
2025-07-11,Friday,2359.51
2025-07-18,Friday,2347.49
2025-07-25,Friday,2392.81
2025-08-01,Friday,2313.78
2025-08-08,Friday,2371.39
2025-08-15,Friday,2385.34
2025-08-22,Friday,2436.14
2025-08-29,Friday,2377.44
2025-09-05,Friday,2371.25
2025-09-12,Friday,2381.87
2025-09-19,Friday,2391.49
2025-09-26,Friday,2370.89
2025-10-03,Friday,2443.37
2025-10-10,Friday,2420.26
2025-10-17,Friday,2419.73
2025-10-24,Friday,2509.92
