Date,Close_Date,Adjusted_Close_Price,Volume
2024-05-13,2024-05-17,4.18,220120671
2024-05-06,2024-05-10,3.62,158446613
2024-04-29,2024-05-03,3.31,56480846
2024-04-22,2024-04-26,3.01,79754856
2024-04-15,2024-04-19,3.24,56789771
2024-04-08,2024-04-12,3.3,109045988
2024-04-01,2024-04-05,3.41,103735528
2024-03-25,2024-03-29,3.32,182067673
2024-03-18,2024-03-22,2.91,116029924
2024-03-11,2024-03-15,2.77,137591363
2024-03-04,2024-03-08,2.8,119539149
2024-02-26,2024-03-01,2.88,243895860
2024-02-19,2024-02-23,2.86,81792532
2024-02-12,2024-02-16,2.95,126051332
2024-02-05,2024-02-09,2.67,167448758
2024-01-29,2024-02-02,3.58,104148885
2024-01-22,2024-01-26,3.85,119667410
2024-01-15,2024-01-19,3.26,101544802
2024-01-08,2024-01-12,3.93,122553075
2024-01-01,2024-01-05,4.15,98733126
2023-12-25,2023-12-29,3.98,92094435
2023-12-18,2023-12-22,4.01,158705656
2023-12-11,2023-12-15,3.75,255261518
2023-12-04,2023-12-08,3.36,184948195
2023-11-27,2023-12-01,3.02,179243717
2023-11-20,2023-11-24,3.05,263468248
2023-11-13,2023-11-17,3.08,329952006
2023-11-06,2023-11-10,2.68,171177612
2023-10-30,2023-11-03,2.8,173114959
2023-10-23,2023-10-27,2.33,134672218
2023-10-16,2023-10-20,2.45,107027793
2023-10-09,2023-10-13,2.69,153497903
2023-10-02,2023-10-06,2.97,195097977
2023-09-25,2023-09-29,3.14,309259241
2023-09-18,2023-09-22,2.37,115347656
2023-09-11,2023-09-15,2.6,89955790
2023-09-04,2023-09-08,2.7,103905303
2023-08-28,2023-09-01,2.82,106996697
2023-08-21,2023-08-25,2.6,169408688
2023-08-14,2023-08-18,3.11,71234404
2023-08-07,2023-08-11,3.31,107849065
2023-07-31,2023-08-04,3.39,107058892
2023-07-24,2023-07-28,3.65,140258082
2023-07-17,2023-07-21,3.81,207120583
2023-07-10,2023-07-14,4.23,308442327
2023-07-03,2023-07-07,4.72,385985613
2023-06-26,2023-06-30,3.25,318406928
2023-06-19,2023-06-23,2.59,191104879
2023-06-12,2023-06-16,3.64,184087797
2023-06-05,2023-06-09,4.23,393809755
2023-05-29,2023-06-02,4.15,694735967
2023-05-22,2023-05-26,2.96,275984267
2023-05-15,2023-05-19,3.36,204193616
2023-05-08,2023-05-12,3.65,710951737
2023-05-01,2023-05-05,6.3,161867803
2023-04-24,2023-04-28,7.22,161779932
2023-04-17,2023-04-21,7.69,77547622
2023-04-10,2023-04-14,8.28,86661722
2023-04-03,2023-04-07,7.85,97376730
2023-03-27,2023-03-31,8.42,118494779
2023-03-20,2023-03-24,7.62,107033729
2023-03-13,2023-03-17,8.36,170979375
2023-03-06,2023-03-10,8.86,108493612
2023-02-27,2023-03-03,9.95,111442200
2023-02-20,2023-02-24,9.2,148495497
2023-02-13,2023-02-17,11.25,82334078
2023-02-06,2023-02-10,11.54,89866582
2023-01-30,2023-02-03,12.83,122353834
2023-01-23,2023-01-27,12.0,54391512
2023-01-16,2023-01-20,11.19,121760210
2023-01-09,2023-01-13,12.49,115744800
2023-01-02,2023-01-06,11.56,63066104
2022-12-26,2022-12-30,10.15,66139111
2022-12-19,2022-12-23,10.78,94337729
2022-12-12,2022-12-16,10.72,108330091
2022-12-05,2022-12-09,11.55,201490245
2022-11-28,2022-12-02,10.86,134263870
2022-11-21,2022-11-25,10.42,72038268
2022-11-14,2022-11-18,10.21,98001442
2022-11-07,2022-11-11,10.94,176738695
2022-10-31,2022-11-04,9.47,299061770
2022-10-24,2022-10-28,7.31,152093166
2022-10-17,2022-10-21,6.63,96028316
2022-10-10,2022-10-14,6.95,107656604
2022-10-03,2022-10-07,6.42,119565591
2022-09-26,2022-09-30,6.94,153879306
2022-09-19,2022-09-23,7.54,157379667
2022-09-12,2022-09-16,8.04,154261232
2022-09-05,2022-09-09,8.71,108831370
2022-08-29,2022-09-02,9.07,75702178
2022-08-22,2022-08-26,9.51,77157312
2022-08-15,2022-08-19,9.86,109369771
2022-08-08,2022-08-12,11.59,109794414
2022-08-01,2022-08-05,9.62,115171202
2022-07-25,2022-07-29,10.57,83904465
2022-07-18,2022-07-22,9.87,124451837
2022-07-11,2022-07-15,8.48,205856120
2022-07-04,2022-07-08,10.16,131638858
2022-06-27,2022-07-01,10.5,130405349
2022-06-20,2022-06-24,9.25,134882578
2022-06-13,2022-06-17,10.63,189290524
2022-06-06,2022-06-10,11.95,76226389
2022-05-30,2022-06-03,14.21,62490401
2022-05-23,2022-05-27,15.24,38714569
2022-05-16,2022-05-20,15.72,53070864
2022-05-09,2022-05-13,15.62,93215124
2022-05-02,2022-05-06,15.04,89779347
2022-04-25,2022-04-29,17.25,77002085
2022-04-18,2022-04-22,18.56,31454109
2022-04-11,2022-04-15,19.33,37186953
2022-04-04,2022-04-08,20.72,47099484
2022-03-28,2022-04-01,22.73,38037897
2022-03-21,2022-03-25,22.85,35457997
2022-03-14,2022-03-18,26.42,49637598
2022-03-07,2022-03-11,23.98,51241248
2022-02-28,2022-03-04,22.63,48533821
2022-02-21,2022-02-25,23.91,213240852
2022-02-14,2022-02-18,22.8,77853731
2022-02-07,2022-02-11,26.12,84579575
2022-01-31,2022-02-04,29.15,35350597
2022-01-24,2022-01-28,30.31,42319184
2022-01-17,2022-01-21,31.18,52950567
2022-01-10,2022-01-14,33.76,31739423
2022-01-03,2022-01-07,34.18,24782211
2021-12-27,2021-12-31,36.54,14359312
2021-12-20,2021-12-24,34.43,20906693
2021-12-13,2021-12-17,34.67,35829741
2021-12-06,2021-12-10,36.73,21457268
2021-11-29,2021-12-03,36.36,27686202
2021-11-22,2021-11-26,35.91,25696793
2021-11-15,2021-11-19,37.25,26728062
2021-11-08,2021-11-12,34.7,25343672
2021-11-01,2021-11-05,33.11,22748005
2021-10-25,2021-10-29,31.69,18709409
2021-10-18,2021-10-22,30.83,16285171
2021-10-11,2021-10-15,29.66,28757728
2021-10-04,2021-10-08,27.48,18518587
2021-09-27,2021-10-01,27.32,21727462
2021-09-20,2021-09-24,27.97,25373608
2021-09-13,2021-09-17,29.01,26403868
2021-09-06,2021-09-10,27.97,18969983
2021-08-30,2021-09-03,27.53,27480705
2021-08-23,2021-08-27,26.7,22513826
2021-08-16,2021-08-20,26.24,22170420
2021-08-09,2021-08-13,25.53,13796726
2021-08-02,2021-08-06,24.91,19888206
2021-07-26,2021-07-30,23.61,17957427
2021-07-19,2021-07-23,23.53,20726671
2021-07-12,2021-07-16,23.09,29054833
2021-07-05,2021-07-09,22.3,19944351
2021-06-28,2021-07-02,20.33,22702636
2021-06-21,2021-06-25,19.88,21181322
2021-06-14,2021-06-18,20.21,24752636
2021-06-07,2021-06-11,21.32,19852746
2021-05-31,2021-06-04,19.96,15600497
2021-05-24,2021-05-28,19.81,22168046
2021-05-17,2021-05-21,18.9,20074359
2021-05-10,2021-05-14,18.22,18946423
2021-05-03,2021-05-07,18.08,23161426
2021-04-26,2021-04-30,17.54,13129922
2021-04-19,2021-04-23,17.27,21559525
2021-04-12,2021-04-16,16.4,19979816
2021-04-05,2021-04-09,15.45,15590061
2021-03-29,2021-04-02,15.02,14416536
2021-03-22,2021-03-26,14.35,17363028
2021-03-15,2021-03-19,14.26,27353318
2021-03-08,2021-03-12,14.0,34649592
2021-03-01,2021-03-05,13.79,34231069
2021-02-22,2021-02-26,14.27,39521678
2021-02-15,2021-02-19,14.43,19051913
2021-02-08,2021-02-12,14.94,20715688
2021-02-01,2021-02-05,14.62,23474028
2021-01-25,2021-01-29,14.84,19442256
2021-01-18,2021-01-22,14.92,14465602
2021-01-11,2021-01-15,15.06,18891512
2021-01-04,2021-01-08,14.84,21975949
2020-12-28,2021-01-01,15.41,7222273
2020-12-21,2020-12-25,15.46,11076662
2020-12-14,2020-12-18,15.25,19770593
2020-12-07,2020-12-11,15.15,17337919
2020-11-30,2020-12-04,15.2,29814922
2020-11-23,2020-11-27,15.75,29196825
2020-11-16,2020-11-20,15.77,21603518
2020-11-09,2020-11-13,15.64,32050293
2020-11-02,2020-11-06,15.29,39914035
2020-10-26,2020-10-30,13.19,31472634
2020-10-19,2020-10-23,14.42,24704568
2020-10-12,2020-10-16,14.87,21150066
2020-10-05,2020-10-09,15.2,23350810
2020-09-28,2020-10-02,14.44,24643626
2020-09-21,2020-09-25,14.4,31654537
2020-09-14,2020-09-18,14.94,51141439
2020-09-07,2020-09-11,13.25,29441609
2020-08-31,2020-09-04,12.39,29926351
